beds,category,city,direction,district,news_begin_date,news_end_date,news_id,news_type_level,price,root,square,street,ward,label_price
,Nhà đất bán,Kiên Giang,Đông,Phú Quốc,9/10/2018,9/17/2018,17536888,Tin thường,,nha_dat_ban,120m²,Dương Tơ,Dương Tơ,
,Nhà đất bán,Đồng Nai,,Nhơn Trạch,9/10/2018,9/17/2018,17288861,Tin thường,1.2,nha_dat_ban,262m²,,Vĩnh Thanh,tỷ
3+,Nhà đất bán,Bình Dương,,Bến Cát,9/6/2018,9/13/2018,16667097,Tin thường,1.2,nha_dat_ban,67.5m²,NE2,Thới Hòa,tỷ
,Nhà đất bán,Kiên Giang,,Phú Quốc,9/7/2018,9/14/2018,16338832,Tin thường,2.9,nha_dat_ban,Không xác định,Bào,Dương Tơ,tỷ
,Nhà đất bán,Hồ Chí Minh,Tây-Nam,Quận 1,9/4/2018,9/11/2018,15120807,Tin thường,70,nha_dat_ban,225m²,Tôn Đức Thắng,Bến Nghé,tỷ
2+,Nhà đất bán,Hồ Chí Minh,Đông-Nam,Thủ Đức,9/7/2018,9/14/2018,16435218,Tin thường,1.65,nha_dat_ban,48m²,38,Hiệp Bình Chánh,tỷ
,Nhà đất bán,Hồ Chí Minh,,Bình Thạnh,9/8/2018,9/15/2018,17526997,Tin thường,13.5,nha_dat_ban,52m²,Hoàng Hoa Thám,5,tỷ
,Nhà đất bán,Hồ Chí Minh,,Quận 1,9/8/2018,9/15/2018,17525165,Tin thường,30,nha_dat_ban,112.5m²,Trần Quang Khải,Tân Định,tỷ
,Nhà đất bán,Hồ Chí Minh,Đông-Nam,Quận 12,9/7/2018,9/14/2018,17512130,Tin Vip 3,45,nha_dat_ban,80m²,Nguyễn Văn Quá,Tân Hưng Thuận,triệu/m²
,Nhà đất bán,Hồ Chí Minh,,Hóc Môn,9/7/2018,9/14/2018,17511416,Tin thường,800,nha_dat_ban,80m²,Đặng Thúc Vịnh,,triệu
,Nhà đất bán,Hồ Chí Minh,Tây-Nam,Quận 12,9/7/2018,9/14/2018,17511539,Tin thường,,nha_dat_ban,64m²,Thạnh Lộc 29,Thạnh Lộc,
2+,Nhà đất cho thuê,Hồ Chí Minh,,Tân Bình,9/7/2018,9/14/2018,17203848,Tin thường,13,nha_dat_thue,80m²,Phổ Quang,2,triệu/tháng
,Nhà đất bán,Hồ Chí Minh,,Quận 4,9/6/2018,9/13/2018,17496960,Tin thường,6,nha_dat_ban,68m²,Nguyễn Khoái,4,tỷ
,Nhà đất bán,Hồ Chí Minh,,Nhà Bè,9/8/2018,9/15/2018,15743887,Tin thường,12,nha_dat_ban,2240m²,Long Thới,Nhơn Đức,tỷ
3+,Nhà đất bán,Hồ Chí Minh,,Bình Tân,9/6/2018,10/6/2018,17494547,Tin thường,5.4,nha_dat_ban,56m²,Bùi Tư Toàn,An Lạc,tỷ
,Nhà đất bán,Khánh Hòa,Bắc,Nha Trang,8/10/2018,11/10/2018,16962415,Tin thường,4.8,nha_dat_ban,95m²,23/10,Vĩnh Hiệp,tỷ
2+,Nhà đất cho thuê,Hà Nội,,Thanh Xuân,9/6/2018,9/14/2018,15283617,Tin thường,14,nha_dat_thue,87m²,Nguyễn Huy Tưởng,Thanh Xuân Trung,triệu/tháng
,Nhà đất bán,Hồ Chí Minh,,Bình Tân,9/6/2018,9/13/2018,17497084,Tin thường,1.1,nha_dat_ban,100m²,Lê Tấn Bê,An Lạc,tỷ
,Nhà đất bán,Hồ Chí Minh,,Quận 9,9/8/2018,9/15/2018,17284502,Tin thường,780,nha_dat_ban,80m²,Liên Phường,Phước Long A,triệu
,Nhà đất bán,Hồ Chí Minh,,Quận 7,9/8/2018,10/8/2018,17520175,Tin thường,15,nha_dat_ban,126m²,16,Tân Phú,tỷ
,Nhà đất bán,Hồ Chí Minh,,Tân Bình,9/8/2018,9/15/2018,17231326,Tin thường,19.5,nha_dat_ban,102m²,Lê Văn Sỹ,1,tỷ
2+,Nhà đất cho thuê,Hồ Chí Minh,,Tân Bình,9/4/2018,9/11/2018,17464062,Tin thường,10,nha_dat_thue,75m²,Trương Công Định,14,triệu/tháng
,Nhà đất bán,Hà Nội,,Long Biên,9/7/2018,9/14/2018,17514076,Tin thường,8.5,nha_dat_ban,60m²,Lâm Du,Bồ Đề,tỷ
,Nhà đất bán,Đà Nẵng,,Ngũ Hành Sơn,9/8/2018,9/15/2018,15617420,Tin thường,17.5,nha_dat_ban,130m²,Ngũ Hành Sơn,Mỹ An,tỷ
,Nhà đất cho thuê,Bà Rịa Vũng Tàu,,Vũng Tàu,9/5/2018,9/12/2018,14271088,Tin thường,15,nha_dat_thue,100m²,Trương Công Định,3,triệu/tháng
,Nhà đất bán,Hà Nội,,Hoàn Kiếm,9/9/2018,9/16/2018,17373461,Tin thường,350,nha_dat_ban,270m²,Đinh Tiên Hoàng,Hàng Gai,tỷ
2+,Nhà đất bán,Bình Dương,,Thủ Dầu Một,9/8/2018,9/15/2018,17245764,Tin thường,1.67,nha_dat_ban,100m²,DX 090,Hiệp An,tỷ
,Nhà đất bán,Hồ Chí Minh,,Quận 2,9/10/2018,9/18/2018,14052428,Tin thường,30,nha_dat_ban,300m²,, Thạnh Mỹ Lợi,tỷ
,Nhà đất cho thuê,Hồ Chí Minh,,Tân Bình,9/7/2018,9/14/2018,16487750,Tin thường,3.5,nha_dat_thue,Không xác định,Cộng Hòa,13,triệu/tháng
,Nhà đất cho thuê,Nghệ An,,Vinh,8/21/2018,11/19/2018,17300361,Tin thường,5,nha_dat_thue,120m²,Trần Cảnh Bình,Trung Đô,triệu/tháng
,Nhà đất cho thuê,Đà Nẵng,,Hải Châu,9/5/2018,9/12/2018,16194469,Tin thường,24,nha_dat_thue,105m²,Lê Lợi,Thạch Thang,triệu/tháng
4+,Nhà đất bán,Hà Nội,,Nam Từ Liêm,9/9/2018,9/16/2018,16850703,Tin thường,4.85,nha_dat_ban,45m²,Mỹ Đình,Mỹ Đình 1,tỷ
,Nhà đất bán,Thừa Thiên Huế,,Phú Vang,9/6/2018,9/13/2018,17488170,Tin thường,,nha_dat_ban,105m²,Tỉnh Lộ 10,,
,Nhà đất bán,Quảng Ninh,,Hạ Long,9/7/2018,9/14/2018,16193160,Tin thường,,nha_dat_ban,184.2m²,,Bãi Cháy,
1+,Nhà đất cho thuê,Hồ Chí Minh,,Quận 7,9/4/2018,9/11/2018,17377631,Tin Vip 1,6,nha_dat_thue,48m²,15B,Phú Mỹ,triệu/tháng
,Nhà đất bán,Hồ Chí Minh,,Phú Nhuận,9/7/2018,9/14/2018,17509576,Tin thường,10.7,nha_dat_ban,50m²,Hoa Sữa,7,tỷ
,Nhà đất bán,Hồ Chí Minh,,Bình Thạnh,9/8/2018,9/15/2018,17513958,Tin thường,28,nha_dat_ban,255m²,Đinh Bộ Lĩnh,24,tỷ
4+,Nhà đất cho thuê,Hà Nội,Tây-Nam,Long Biên,9/4/2018,9/11/2018,12879819,Tin thường,30,nha_dat_thue,150m²,Anh Đào,Việt Hưng,triệu/tháng
,Nhà đất bán,Đà Nẵng,Đông-Nam,Hải Châu,9/8/2018,9/15/2018,17524167,Tin thường,52,nha_dat_ban,99m²,Vũ Trọng Phụng,Hòa Cường Nam,triệu/m²
3+,Nhà đất bán,Quảng Nam,,Thăng Bình,9/10/2018,9/29/2018,16783822,Tin thường,31.778,nha_dat_ban,1500m²,,Bình Dương,tỷ
,Nhà đất bán,Khánh Hòa,,Cam Ranh,9/7/2018,9/14/2018,17340178,Tin thường,18,nha_dat_ban,125.2m²,Nguyễn Tất Thành,Cam Nghĩa,triệu/m²
2+,Nhà đất cho thuê,Hồ Chí Minh,,Phú Nhuận,9/4/2018,9/11/2018,8889678,Tin thường,16,nha_dat_thue,93m²,Nguyễn Thượng Hiền,5,triệu/tháng
,Nhà đất bán,Đồng Nai,,Nhơn Trạch,9/8/2018,9/15/2018,16632842,Tin thường,6.5,nha_dat_ban,100m²,Nguyễn Hữu Cảnh,Vĩnh Thanh,triệu/m²
,Nhà đất cho thuê,Hồ Chí Minh,,Quận 7,9/4/2018,9/11/2018,15628147,Tin thường,159.15,nha_dat_thue,222m²,Bùi Bằng Đoàn,Tân Phong,triệu/tháng
2+,Nhà đất cho thuê,Hồ Chí Minh,,Quận 7,9/5/2018,9/12/2018,14576626,Tin thường,9,nha_dat_thue,74m²,Nguyễn Văn Linh,Tân Phong,triệu/tháng
2+,Nhà đất cho thuê,Hà Nội,,Nam Từ Liêm,9/5/2018,9/12/2018,17471811,Tin thường,8.5,nha_dat_thue,66m²,Trần Bình,Mỹ Đình 2,triệu/tháng
,Nhà đất bán,Hà Nội,Tây-Bắc,Hoài Đức,9/4/2018,9/11/2018,16516789,Tin Vip 3,55,nha_dat_ban,76m²,,Trạm Trôi,triệu/m²
4+,Nhà đất cho thuê,Hà Nội,,Hai Bà Trưng,9/10/2018,9/17/2018,16212821,Tin thường,11.5,nha_dat_thue,140m²,Lò Đúc,Phạm Đình Hổ,triệu/tháng
,Nhà đất bán,Hà Nội,Tây-Bắc,Nam Từ Liêm,9/9/2018,9/16/2018,12632643,Tin thường,2.55,nha_dat_ban,51m²,Đình Thôn,Mỹ Đình 1,tỷ
,Nhà đất bán,Hồ Chí Minh,Tây-Nam,Quận 10,9/7/2018,9/14/2018,17514421,Tin thường,6,nha_dat_ban,66m²,Điện Biên Phủ,11,tỷ
3+,Nhà đất cho thuê,Hà Nội,,Thanh Xuân,9/10/2018,9/17/2018,15688896,Tin thường,22,nha_dat_thue,120m²,Lê Văn Lương,Nhân Chính,triệu/tháng
,Nhà đất bán,Hồ Chí Minh,Đông-Nam,Quận 2,9/7/2018,9/21/2018,16694076,Tin thường,5,nha_dat_ban,90m²,Số 5,Bình Trưng Đông,tỷ
,Nhà đất bán,Đà Nẵng,,Ngũ Hành Sơn,9/10/2018,9/17/2018,17533302,Tin thường,,nha_dat_ban,110m²,Minh Mạng,Hòa Quý,
,Nhà đất bán,Hồ Chí Minh,,Quận 9,9/4/2018,12/4/2018,13189496,Tin Vip 2,58,nha_dat_ban,96m²,Liên Phường,Phú Hữu,triệu/m²
,Nhà đất bán,Hồ Chí Minh,,Quận 5,9/6/2018,9/13/2018,17502736,Tin Vip 3,24.8,nha_dat_ban,62m²,Châu Văn Liêm,14,tỷ
,Nhà đất cho thuê,Hà Nội,,Cầu Giấy,9/4/2018,9/11/2018,17448509,Tin thường,32,nha_dat_thue,65m²,Hoàng Quốc Việt,Nghĩa Tân,triệu/tháng
3+,Nhà đất bán,Đồng Nai,Đông,Biên Hòa,9/6/2018,9/13/2018,17499622,Tin thường,2.35,nha_dat_ban,115m²,,Tân Hiệp,tỷ
4+,Nhà đất bán,Hồ Chí Minh,Bắc,Quận 8,8/28/2018,9/11/2018,17205086,Tin Vip 1,2.8,nha_dat_ban,30m²,Bông Sao,5,tỷ
,Nhà đất bán,Bình Dương,,Thủ Dầu Một,9/10/2018,9/19/2018,15599978,Tin thường,24,nha_dat_ban,300m²,Hoàng Hoa Thám,Hiệp Thành,triệu/m²
2+,Nhà đất bán,Hà Nội,,Long Biên,9/6/2018,9/16/2018,17502286,Tin Vip 1,800,nha_dat_ban,50m²,Chu Huy Mân,Phúc Đồng,triệu
,Nhà đất cho thuê,Khánh Hòa,Tây-Nam,Nha Trang,6/21/2018,9/21/2018,11618463,Tin thường,,nha_dat_thue,210m²,23/10,Vĩnh Hiệp,
,Nhà đất bán,Hồ Chí Minh,,Quận 6,9/7/2018,9/14/2018,17514057,Tin thường,3.05,nha_dat_ban,25.62m²,Bình Tiên,8,tỷ
,Nhà đất bán,Hải Phòng,,Dương Kinh,9/8/2018,9/15/2018,17525791,Tin Vip 2,,nha_dat_ban,450m²,Phạm Văn Đồng,,
,Nhà đất bán,Long An,Tây,Đức Hòa,9/4/2018,9/11/2018,17271030,Tin thường,1.75,nha_dat_ban,75m²,824,Mỹ Hạnh Nam,tỷ
,Nhà đất bán,Hồ Chí Minh,,Quận 3,9/10/2018,9/17/2018,17536915,Tin thường,45.5,nha_dat_ban,138m²,Điện Biên Phủ,6,tỷ
,Nhà đất cần mua,Bình Phước,,Chơn Thành,1/1/2018,1/1/2018,,,,nha_dat_can_mua,Không xác định,,Thành Tâm,
2+,Nhà đất cho thuê,Hà Nội,,Cầu Giấy,9/4/2018,9/11/2018,13163425,Tin thường,21,nha_dat_thue,130m²,,Trung Hòa,triệu/tháng
,Nhà đất cho thuê,Hà Nội,,Thanh Xuân,9/5/2018,9/12/2018,17481261,Tin thường,25,nha_dat_thue,65m²,Lê Trọng Tấn,Khương Trung,triệu/tháng
,Nhà đất cho thuê,Hà Nội,,Nam Từ Liêm,9/4/2018,9/11/2018,17459647,Tin thường,180,nha_dat_thue,2000m²,Phạm Hùng,Mễ Trì,nghìn/m2/tháng
,Nhà đất bán,Nghệ An,Đông,Vinh,9/8/2018,9/15/2018,17523979,Tin thường,,nha_dat_ban,133m²,Lý Tự Trọng,,
2+,Nhà đất cho thuê,Hà Nội,,Nam Từ Liêm,9/6/2018,9/14/2018,13769561,Tin thường,10,nha_dat_thue,71m²,Phạm Hùng,Mỹ Đình 2,triệu/tháng
,Nhà đất cho thuê,Hà Nội,,Cầu Giấy,9/7/2018,9/14/2018,17210105,Tin thường,132.58,nha_dat_thue,110m²,Nguyễn Khánh Toàn,Nghĩa Đô,triệu/tháng
1+,Nhà đất cho thuê,Hồ Chí Minh,,Tân Bình,9/4/2018,9/11/2018,17159526,Tin thường,10,nha_dat_thue,25m²,Tân Sơn,15,triệu/tháng
