,beds,category,city,direction,district,news_begin_date,news_end_date,news_id,news_type_level,price,root,square,street,ward,label_price
0,,Nhà đất bán,Hồ Chí Minh,,Phú Nhuận,1536537600000,1537142400000,17533924.0,Tin thường,21.0,nha_dat_thue,100m²,,,triệu/tháng
1,,Nhà đất cho thuê,Hồ Chí Minh,,Phú Nhuận,1536192000000,1536796800000,17404807.0,Tin thường,35.0,nha_dat_thue,76m²,Đào Duy Anh,9,triệu/tháng
2,,Nhà đất bán,Hồ Chí Minh,,Phú Nhuận,1536019200000,1536624000000,16807519.0,Tin thường,80.0,nha_dat_thue,144m²,Hoa Lan,2,triệu/tháng
3,,Nhà đất cho thuê,Hồ Chí Minh,,Phú Nhuận,1536105600000,1536710400000,16831594.0,Tin thường,15.9,nha_dat_thue,50m²,Hoa Cau,,triệu/tháng
4,,Nhà đất cho thuê,Hồ Chí Minh,,Quận 1,1536192000000,1536796800000,17500085.0,Tin thường,420.3,nha_dat_thue,70m²,Nguyễn Công Trứ,Nguyễn Thái Bình,nghìn/m2/tháng
5,,Nhà đất cho thuê,Hồ Chí Minh,,Quận 1,1535587200000,1536969600000,17425627.0,Tin thường,200.0,nha_dat_thue,1m²,Tôn Đức Thắng,Bến Nghé,nghìn/tháng
6,,Nhà đất cho thuê,Hồ Chí Minh,,Quận 1,1536019200000,1536624000000,6649933.0,Tin thường,68.0,nha_dat_thue,100m²,Nguyễn Trãi,,triệu/tháng
7,,Nhà đất bán,Hồ Chí Minh,,Quận 1,1536019200000,1536624000000,15253083.0,Tin thường,120.0,nha_dat_thue,100m²,Lê Thánh Tôn,,triệu/tháng
8,,Nhà đất cho thuê,Hồ Chí Minh,,Quận 1,1536278400000,1536883200000,17431540.0,Tin thường,52.0,nha_dat_thue,800m²,Hai Bà Trưng,,triệu/tháng
9,,Nhà đất cho thuê,Hồ Chí Minh,,Quận 1,1535932800000,1536537600000,16973033.0,Tin thường,694.8,nha_dat_thue,860m²,Nguyễn Trãi,Nguyễn Cư Trinh,triệu/tháng
10,,Nhà đất cho thuê,Hồ Chí Minh,,Quận 1,1536364800000,1536969600000,14508431.0,Tin thường,9.0,nha_dat_thue,30m²,Nguyễn Văn Thủ,,triệu/tháng
11,3+,Nhà đất cho thuê,Hồ Chí Minh,,Quận 1,1536105600000,1536710400000,17472906.0,Tin thường,23.0,nha_dat_thue,125m²,Trần Quang Khải,Tân Định,triệu/tháng
12,,Nhà đất cho thuê,Hồ Chí Minh,Đông-Nam,Quận 1,1529884800000,1537833600000,10661483.0,Tin thường,6.5,nha_dat_thue,Không xác định,Tôn Thất Đạm,Bến Thành,triệu/tháng
13,,Nhà đất bán,Hồ Chí Minh,,Quận 1,1536364800000,1536969600000,17523726.0,Tin thường,345.0,nha_dat_thue,80m²,Ngô Đức Kế,Bến Nghé,triệu/tháng
14,,Nhà đất cho thuê,Hồ Chí Minh,,Quận 1,1536537600000,1537142400000,17535253.0,Tin thường,,nha_dat_thue,Không xác định,Nguyễn Cư Trinh,,
15,,Nhà đất cho thuê,Hồ Chí Minh,,Quận 1,1536278400000,1536883200000,15954223.0,Tin thường,40.0,nha_dat_thue,72m²,Tôn Đức Thắng,Bến Nghé,triệu/tháng
16,,Nhà đất cho thuê,Hồ Chí Minh,,Quận 10,1536192000000,1536796800000,13406108.0,Tin thường,500.0,nha_dat_thue,200m²,Cách Mạng Tháng Tám,12,nghìn/m2/tháng
17,1+,Nhà đất cho thuê,Hồ Chí Minh,,Quận 10,1536105600000,1536796800000,17202232.0,Tin thường,8.0,nha_dat_thue,30m²,Cao Thắng,12,triệu/tháng
18,,Nhà đất cho thuê,Hồ Chí Minh,,Quận 10,1536364800000,1536969600000,17133152.0,Tin thường,59.0,nha_dat_thue,172.2m²,Ngô Gia Tự,,triệu/tháng
19,,Nhà đất cho thuê,Hồ Chí Minh,,Quận 10,1536019200000,1536624000000,17355768.0,Tin Vip 3,70.0,nha_dat_thue,115.5m²,Sư Vạn Hạnh,12,triệu/tháng
20,,Nhà đất cho thuê,Hồ Chí Minh,,Quận 10,1536192000000,1536883200000,4648354.0,Tin thường,2.0,nha_dat_thue,15m²,Thành Thái,14,triệu/tháng
21,,Nhà đất cho thuê,Hồ Chí Minh,,Quận 10,1536537600000,1537142400000,14242411.0,Tin thường,40.0,nha_dat_thue,176m²,Cao Thắng,,triệu/tháng
22,,Nhà đất cho thuê,Hồ Chí Minh,,Quận 11,1536105600000,1537142400000,4186309.0,Tin thường,3.5,nha_dat_thue,18m²,Hà Tôn Quyền,6,triệu/tháng
23,4+,Nhà đất bán,Hà Nội,,Hai Bà Trưng,1536364800000,1536969600000,17518743.0,Tin thường,4.6,nha_dat_ban,55m²,Lạc Trung,Vĩnh Tuy,tỷ
24,1+,Nhà đất cho thuê,Hồ Chí Minh,,Quận 12,1536364800000,1536969600000,17524195.0,Tin thường,6.5,nha_dat_thue,40m²,Nguyễn Văn Quá,Đông Hưng Thuận,triệu/tháng
25,,Nhà đất cho thuê,Hồ Chí Minh,,Quận 12,1536192000000,1536796800000,17494437.0,Tin thường,200.0,nha_dat_thue,3000m²,Trường Chinh,Tân Thới Nhất,triệu/tháng
26,,Nhà đất cho thuê,Hồ Chí Minh,,Quận 12,1536105600000,1536710400000,17408865.0,Tin thường,100.0,nha_dat_thue,600m²,Lê Văn Khương,Tân Thới Hiệp,triệu/tháng
27,,Nhà đất bán,Hà Nội,,Hai Bà Trưng,1536278400000,1536883200000,17509753.0,Tin thường,2.3,nha_dat_ban,52m²,Minh Khai,Minh Khai,tỷ
28,,Nhà đất cho thuê,Hồ Chí Minh,,Quận 12,1536105600000,1536710400000,16800173.0,Tin thường,10.0,nha_dat_thue,80m²,Trường Chinh,Tân Thới Nhất,triệu/tháng
29,2+,Nhà đất cho thuê,Hồ Chí Minh,,Quận 2,1536278400000,1536883200000,16960651.0,Tin thường,18.0,nha_dat_thue,76m²,Xa Lộ Hà Nội,Thảo Điền,triệu/tháng
30,2+,Nhà đất cho thuê,Hồ Chí Minh,Đông,Quận 2,1536278400000,1536883200000,15845695.0,Tin thường,17.0,nha_dat_thue,88m²,66,Thảo Điền,triệu/tháng
31,,Nhà đất cho thuê,Hồ Chí Minh,,Quận 2,1536192000000,1536796800000,15803797.0,Tin thường,2.5,nha_dat_thue,25m²,54, Thạnh Mỹ Lợi,triệu/tháng
32,3+,Nhà đất cho thuê,Hồ Chí Minh,Tây-Bắc,Quận 2,1536019200000,1536624000000,14526920.0,Tin thường,18.0,nha_dat_thue,102m²,Mai Chí Thọ,An Phú,triệu/tháng
33,2+,Nhà đất cho thuê,Hồ Chí Minh,,Quận 2,1536019200000,1536624000000,16782383.0,Tin thường,13.0,nha_dat_thue,50m²,Đồng Văn Cống,An Phú,triệu/tháng
34,,Nhà đất bán,Hà Nội,,Hai Bà Trưng,1536192000000,1536796800000,16707183.0,Tin thường,2.85,nha_dat_ban,35m²,Đê Trần Khát Chân,Thanh Lương,tỷ
35,2+,Nhà đất cho thuê,Hồ Chí Minh,,Quận 2,1536364800000,1536969600000,12078784.0,Tin thường,20.0,nha_dat_thue,88m²,Mai Chí Thọ,An Lợi Đông,triệu/tháng
36,1+,Nhà đất cho thuê,Hồ Chí Minh,,Quận 2,1536192000000,1536796800000,17159392.0,Tin thường,11.0,nha_dat_thue,50m²,Mai Chí Thọ,Bình Khánh,triệu/tháng
37,2+,Nhà đất cho thuê,Hồ Chí Minh,,Quận 2,1536364800000,1536969600000,17012101.0,Tin thường,10.0,nha_dat_thue,70m²,Nguyễn Duy Trinh,Bình Trưng Đông,triệu/tháng
38,3+,Nhà đất cho thuê,Hồ Chí Minh,,Quận 2,1536364800000,1536969600000,17526821.0,Tin thường,22.0,nha_dat_thue,104m²,Xa Lộ Hà Nội,An Phú,triệu/tháng
39,5+,Nhà đất bán,Hà Nội,,Hai Bà Trưng,1536451200000,1537056000000,17141316.0,Tin thường,4.2,nha_dat_ban,38m²,Minh Khai,Minh Khai,tỷ
40,5+,Nhà đất cho thuê,Hồ Chí Minh,,Quận 2,1536105600000,1536710400000,17114567.0,Tin thường,35.0,nha_dat_thue,140m²,Trần Não,Bình An,triệu/tháng
41,,Nhà đất cho thuê,Hồ Chí Minh,,Quận 2,1536278400000,1536883200000,17505260.0,Tin thường,15.0,nha_dat_thue,200m²,,An Phú,triệu/tháng
42,1+,Nhà đất cho thuê,Hồ Chí Minh,Tây-Bắc,Quận 2,1536105600000,1536710400000,17103014.0,Tin thường,12.0,nha_dat_thue,56m²,Đồng Văn Cống, Thạnh Mỹ Lợi,triệu/tháng
43,,Nhà đất cho thuê,Hồ Chí Minh,,Quận 2,1536364800000,1538956800000,17520504.0,Tin thường,10.5,nha_dat_thue,35m²,Số 64,Thảo Điền,triệu/tháng
44,4+,Nhà đất cho thuê,Hồ Chí Minh,,Quận 2,1536019200000,1536710400000,15550776.0,Tin thường,22.0,nha_dat_thue,100m²,39,Bình Trưng Tây,triệu/tháng
